City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arteche,12.2645,125.4048,303.95,63,100,3.23,PH,1715649997
1,eggesin,53.6833,14.0833,286.27,76,11,4.11,DE,1715649997
2,montagu,-40.7667,144.9667,287.12,54,47,5.98,AU,1715649998
3,berlin,52.5244,13.4105,288.19,51,0,4.12,DE,1715649728
4,blackmans bay,-43.0167,147.3167,285.66,61,100,1.79,AU,1715649998
5,san antonio de pale,-1.4014,5.6325,299.64,88,100,4.13,GQ,1715649999
6,yuzhno-sakhalinsk,46.9581,142.7337,284.94,66,100,4.0,RU,1715649999
7,puerto ayora,-0.7393,-90.3518,296.79,97,99,2.84,EC,1715649999
8,mil'kovo,55.6078,37.7956,277.07,64,59,1.49,RU,1715650000
9,goba,7.0167,39.9833,284.01,87,100,1.9,ET,1715650000
10,nar'yan-mar,67.6713,53.087,271.27,94,100,4.41,RU,1715650000
11,portland,45.5234,-122.6762,295.47,55,20,4.63,US,1715649900
12,berezovo,63.9381,65.0419,267.0,87,78,2.12,RU,1715650001
13,flying fish cove,-10.4217,105.6791,299.97,89,75,4.63,CX,1715650001
14,iqaluit,63.7506,-68.5145,264.0,62,0,5.14,CA,1715649867
15,clemencia,10.5665,-75.325,301.8,88,100,5.5,CO,1715650002
16,puerto natales,-51.7236,-72.4875,272.75,94,37,2.7,CL,1715650002
17,thompson,55.7435,-97.8558,282.24,46,75,1.03,CA,1715650003
18,edinburgh of the seven seas,-37.0676,-12.3116,287.08,61,96,3.98,SH,1715650003
19,aykhal,66.0,111.5,273.43,100,100,4.12,RU,1715649924
20,adamstown,-25.066,-130.1015,294.4,72,1,1.84,PN,1715650004
21,conde,-7.2597,-34.9075,298.85,94,0,2.06,BR,1715649876
22,waitangi,-43.9535,-176.5597,285.27,76,95,3.13,NZ,1715649799
23,palikir - national government center,6.9248,158.1611,303.62,84,100,4.63,FM,1715650005
24,udachny,66.4167,112.4,272.84,71,100,8.37,RU,1715650005
25,bilibino,68.0546,166.4372,272.53,82,100,1.7,RU,1715650005
26,keflavik,64.0049,-22.5624,278.1,87,0,7.72,IS,1715650005
27,newman,37.3138,-121.0208,303.28,29,69,6.71,US,1715649761
28,fiche,9.8,38.7333,288.37,56,100,0.79,ET,1715650006
29,sitka,57.0531,-135.33,281.09,81,100,5.14,US,1715650006
30,revda,56.801,59.9303,272.34,88,11,2.5,RU,1715650007
31,vorgashor,67.5833,63.95,268.04,85,99,3.41,RU,1715650007
32,anadyr,64.75,177.4833,276.43,70,0,7.0,RU,1715649712
33,nagqu,31.5,92.0,276.5,79,85,3.66,CN,1715650008
34,kodiak,57.79,-152.4072,280.88,71,75,4.63,US,1715650008
35,galax,36.6612,-80.924,289.46,89,100,2.57,US,1715650008
36,nahiyat ash shinafiyah,31.5874,44.6602,298.65,22,0,3.06,IQ,1715650009
37,lata,40.1629,-8.3327,286.52,95,100,1.73,PT,1715650009
